,Sample_ID,Year,Country,Continent,Beta.lactamase,Azithromycin,Ciprofloxacin,Ceftriaxone,Cefixime,Tetracycline,Penicillin,NG_MAST,Group,azm_mic,cip_mic,cro_mic,cfx_mic,tet_mic,pen_mic,log2_azm_mic,log2_cip_mic,log2_cro_mic,log2_cfx_mic,log2_tet_mic,log2_pen_mic,azm_sr,cip_sr,cro_sr,cfx_sr,tet_sr,pen_sr
0,ERR1549286,2015.0,UK,Europe,,>256,,0.016,,,,9768,1058,512.0,,0.016,,,,9.0,,-5.965784285,,,,1.0,,0.0,,,
1,ERR1549290,2015.0,UK,Europe,,>256,,0.004,,,,9768,1058,512.0,,0.004,,,,9.0,,-7.965784285,,,,1.0,,0.0,,,
2,ERR1549291,2015.0,UK,Europe,,>256,,0.006,,,,9768,1058,512.0,,0.006,,,,9.0,,-7.380821784,,,,1.0,,0.0,,,
3,ERR1549287,2015.0,UK,Europe,,>256,,0.006,,,,9768,1058,512.0,,0.006,,,,9.0,,-7.380821784,,,,1.0,,0.0,,,
4,ERR1549288,2015.0,UK,Europe,,>256,,0.008,,,,9768,1058,512.0,,0.008,,,,9.0,,-6.965784285,,,,1.0,,0.0,,,
5,ERR1549299,2015.0,UK,Europe,,>256,,0.012,,,,,0,512.0,,0.012,,,,9.0,,-6.380821784,,,,1.0,,0.0,,,
6,ERR1549292,2015.0,UK,Europe,,>256,,0.023,,,,9768,1058,512.0,,0.023,,,,9.0,,-5.442222329,,,,1.0,,0.0,,,
7,ERR1549298,2015.0,UK,Europe,,0.5,,0.094,,,,,0,0.5,,0.094,,,,-1.0,,-3.411195433,,,,0.0,,0.0,,,
8,ERR1549296,2015.0,UK,Europe,,0.5,,0.094,,,,,0,0.5,,0.094,,,,-1.0,,-3.411195433,,,,0.0,,0.0,,,
9,ERR1549300,2015.0,UK,Europe,,>256,,0.008,,,,,0,512.0,,0.008,,,,9.0,,-6.965784285,,,,1.0,,0.0,,,
10,ERR1549295,2015.0,UK,Europe,,0.75,,0.094,,,,,0,0.75,,0.094,,,,-0.415037499,,-3.411195433,,,,0.0,,0.0,,,
11,ERR1549294,2015.0,UK,Europe,,0.75,,0.094,,,,1407,127,0.75,,0.094,,,,-0.415037499,,-3.411195433,,,,0.0,,0.0,,,
12,ERR1549289,2015.0,UK,Europe,,0.75,,0.094,,,,,0,0.75,,0.094,,,,-0.415037499,,-3.411195433,,,,0.0,,0.0,,,
13,ERR1549293,2015.0,UK,Europe,,>256,,0.016,,,,11836,1059,512.0,,0.016,,,,9.0,,-5.965784285,,,,1.0,,0.0,,,
14,SRR1661154,1996.0,Canada,America,,0.25,0.5,0.125,0.125,2,2,10443,672,0.25,0.5,0.125,0.125,2.0,2.0,-2.0,-1.0,-3.0,-3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
15,SRR1661156,1997.0,Canada,America,,0.25,16,0.125,0.063,2,2,10476,675,0.25,16.0,0.125,0.063,2.0,2.0,-2.0,4.0,-3.0,-3.988504361,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
16,SRR1661157,1998.0,Canada,America,,0.125,0.016,0.125,0.063,>=128,4,10469,674,0.125,0.016,0.125,0.063,256.0,4.0,-3.0,-5.965784285,-3.0,-3.988504361,8.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
17,SRR1661158,2000.0,Canada,America,,0.25,0.5,0.125,0.25,4,4,4138,846,0.25,0.5,0.125,0.25,4.0,4.0,-2.0,-1.0,-3.0,-2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
18,SRR1661159,2001.0,Canada,America,,0.063,0.063,0.00025,0.001,0.5,0.008,8,411,0.063,0.063,0.00025,0.001,0.5,0.008,-3.988504361,-3.988504361,-11.96578428,-9.965784285,-1.0,-6.965784285,0.0,0.0,0.0,0.0,0.0,0.0
19,SRR1661160,2001.0,Canada,America,,0.125,0.004,0.002,0.004,1,0.063,-,1,0.125,0.004,0.002,0.004,1.0,0.063,-3.0,-7.965784285,-8.965784285,-7.965784285,0.0,-3.988504361,0.0,0.0,0.0,0.0,0.0,0.0
20,SRR1661161,2001.0,Canada,America,,0.5,16,0.125,0.25,4,4,4383,853,0.5,16.0,0.125,0.25,4.0,4.0,-1.0,4.0,-3.0,-2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0
21,SRR1661162,2001.0,Canada,America,,0.063,0.004,0.004,0.008,0.125,0.063,51,563,0.063,0.004,0.004,0.008,0.125,0.063,-3.988504361,-7.965784285,-7.965784285,-6.965784285,-3.0,-3.988504361,0.0,0.0,0.0,0.0,0.0,0.0
22,SRR1661163,2001.0,Canada,America,,0.5,0.032,0.125,0.032,4,4,108,697,0.5,0.032,0.125,0.032,4.0,4.0,-1.0,-4.965784285,-3.0,-4.965784285,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
23,SRR1661164,2001.0,Canada,America,,0.5,64,0.125,0.25,4,4,1424,129,0.5,64.0,0.125,0.25,4.0,4.0,-1.0,6.0,-3.0,-2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0
24,SRR1661165,2001.0,Canada,America,,0.25,0.25,0.125,0.032,2,2,84,960,0.25,0.25,0.125,0.032,2.0,2.0,-2.0,-2.0,-3.0,-4.965784285,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
25,SRR1661166,2001.0,Canada,America,,0.5,16,0.125,0.25,4,4,4383,853,0.5,16.0,0.125,0.25,4.0,4.0,-1.0,4.0,-3.0,-2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0
26,SRR1661167,2002.0,Canada,America,,2,0.032,0.125,0.063,4,8,5,317,2.0,0.032,0.125,0.063,4.0,8.0,1.0,-4.965784285,-3.0,-3.988504361,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0
27,SRR1661169,2004.0,Canada,America,,0.063,0.004,0.002,0.004,0.25,0.063,9022,982,0.063,0.004,0.002,0.004,0.25,0.063,-3.988504361,-7.965784285,-8.965784285,-7.965784285,-2.0,-3.988504361,0.0,0.0,0.0,0.0,0.0,0.0
28,SRR1661171,2005.0,Canada,America,,0.063,0.004,0.002,0.004,0.25,0.125,25,190,0.063,0.004,0.002,0.004,0.25,0.125,-3.988504361,-7.965784285,-8.965784285,-7.965784285,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
29,SRR1661172,2005.0,Canada,America,,0.125,0.008,0.004,0.004,1,0.25,210,172,0.125,0.008,0.004,0.004,1.0,0.25,-3.0,-6.965784285,-7.965784285,-7.965784285,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
30,SRR1661174,2005.0,Canada,America,,0.063,8,0.032,0.032,1,0.5,225,179,0.063,8.0,0.032,0.032,1.0,0.5,-3.988504361,3.0,-4.965784285,-4.965784285,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
31,SRR1661176,2005.0,Canada,America,,0.5,16,0.032,0.063,4,1,1407,127,0.5,16.0,0.032,0.063,4.0,1.0,-1.0,4.0,-4.965784285,-3.988504361,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
32,SRR1661177,2005.0,Canada,America,,0.25,0.016,0.001,0.002,0.25,0.032,69,381,0.25,0.016,0.001,0.002,0.25,0.032,-2.0,-5.965784285,-9.965784285,-8.965784285,-2.0,-4.965784285,0.0,0.0,0.0,0.0,0.0,0.0
33,SRR1661178,2005.0,Canada,America,,0.063,0.016,0.0005,0.001,0.25,0.032,545,331,0.063,0.016,0.0005,0.001,0.25,0.032,-3.988504361,-5.965784285,-10.96578428,-9.965784285,-2.0,-4.965784285,0.0,0.0,0.0,0.0,0.0,0.0
34,SRR1661179,2006.0,Canada,America,,0.25,1,0.125,0.063,>=128,128,1056,677,0.25,1.0,0.125,0.063,256.0,128.0,-2.0,0.0,-3.0,-3.988504361,8.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0
35,SRR1661180,2006.0,Canada,America,,0.032,0.004,0.002,0.004,0.25,0.25,2,536,0.032,0.004,0.002,0.004,0.25,0.25,-4.965784285,-7.965784285,-8.965784285,-7.965784285,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
36,SRR1661181,2006.0,Canada,America,,0.125,2,0.125,0.25,2,4,4014,844,0.125,2.0,0.125,0.25,2.0,4.0,-3.0,1.0,-3.0,-2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0
37,SRR1661182,2006.0,Canada,America,,0.125,2,0.125,0.25,2,4,4014,844,0.125,2.0,0.125,0.25,2.0,4.0,-3.0,1.0,-3.0,-2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0
38,SRR1661184,2006.0,Canada,America,,0.5,4,0.032,0.016,2,1,3108,817,0.5,4.0,0.032,0.016,2.0,1.0,-1.0,2.0,-4.965784285,-5.965784285,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
39,SRR1661185,2006.0,Canada,America,,0.25,16,0.125,0.25,4,2,225,179,0.25,16.0,0.125,0.25,4.0,2.0,-2.0,4.0,-3.0,-2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
40,SRR1661186,2006.0,Canada,America,,0.25,4,0.016,0.016,1,1,3108,817,0.25,4.0,0.016,0.016,1.0,1.0,-2.0,2.0,-5.965784285,-5.965784285,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41,SRR1661187,2006.0,Canada,America,,0.25,8,0.063,0.063,4,1,1407,127,0.25,8.0,0.063,0.063,4.0,1.0,-2.0,3.0,-3.988504361,-3.988504361,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
42,SRR1661188,2006.0,Canada,America,,0.25,16,0.063,0.063,8,2,225,179,0.25,16.0,0.063,0.063,8.0,2.0,-2.0,4.0,-3.988504361,-3.988504361,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
43,SRR1661189,2006.0,Canada,America,,0.25,4,0.008,0.016,1,1,-,1,0.25,4.0,0.008,0.016,1.0,1.0,-2.0,2.0,-6.965784285,-5.965784285,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
44,SRR1661191,2006.0,Canada,America,,0.25,16,0.125,0.063,4,2,225,179,0.25,16.0,0.125,0.063,4.0,2.0,-2.0,4.0,-3.0,-3.988504361,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
45,SRR1661192,2006.0,Canada,America,,0.25,32,0.125,0.063,4,2,225,179,0.25,32.0,0.125,0.063,4.0,2.0,-2.0,5.0,-3.0,-3.988504361,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
46,SRR1661193,2007.0,Canada,America,,0.032,4,0.125,0.032,1,0.25,225,179,0.032,4.0,0.125,0.032,1.0,0.25,-4.965784285,2.0,-3.0,-4.965784285,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0
47,SRR1661194,2007.0,Canada,America,,0.25,0.016,0.125,0.125,2,1,3565,831,0.25,0.016,0.125,0.125,2.0,1.0,-2.0,-5.965784285,-3.0,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
48,SRR1661195,2007.0,Canada,America,,0.25,64,0.125,0.5,2,1,-,1,0.25,64.0,0.125,0.5,2.0,1.0,-2.0,6.0,-3.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
49,SRR1661196,2008.0,Canada,America,,0.5,16,0.125,0.125,4,2,-,1,0.5,16.0,0.125,0.125,4.0,2.0,-1.0,4.0,-3.0,-3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
50,SRR1661197,2007.0,Canada,America,,0.5,16,0.125,0.125,4,2,1407,127,0.5,16.0,0.125,0.125,4.0,2.0,-1.0,4.0,-3.0,-3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
51,SRR1661198,2007.0,Canada,America,,0.5,16,0.125,0.125,4,2,1407,127,0.5,16.0,0.125,0.125,4.0,2.0,-1.0,4.0,-3.0,-3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
52,SRR1661200,2008.0,Canada,America,,0.5,16,0.032,0.032,4,4,1407,127,0.5,16.0,0.032,0.032,4.0,4.0,-1.0,4.0,-4.965784285,-4.965784285,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0
53,SRR1661201,2008.0,Canada,America,,0.5,16,0.125,0.25,4,2,3158,214,0.5,16.0,0.125,0.25,4.0,2.0,-1.0,4.0,-3.0,-2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
54,SRR1661202,2008.0,Canada,America,,0.5,16,0.032,0.032,4,2,3779,261,0.5,16.0,0.032,0.032,4.0,2.0,-1.0,4.0,-4.965784285,-4.965784285,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
55,SRR1661203,2008.0,Canada,America,,0.5,16,0.063,0.125,2,1,3158,214,0.5,16.0,0.063,0.125,2.0,1.0,-1.0,4.0,-3.988504361,-3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
56,SRR1661204,2008.0,Canada,America,,0.5,32,0.125,0.125,8,4,225,179,0.5,32.0,0.125,0.125,8.0,4.0,-1.0,5.0,-3.0,-3.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0
57,SRR1661205,2008.0,Canada,America,,0.5,16,0.125,0.125,2,8,225,179,0.5,16.0,0.125,0.125,2.0,8.0,-1.0,4.0,-3.0,-3.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0
58,SRR1661206,2008.0,Canada,America,,0.5,16,0.125,0.25,4,1,3158,214,0.5,16.0,0.125,0.25,4.0,1.0,-1.0,4.0,-3.0,-2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
59,SRR1661208,2009.0,Canada,America,,0.5,16,0.125,0.25,4,2,-,1,0.5,16.0,0.125,0.25,4.0,2.0,-1.0,4.0,-3.0,-2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
60,SRR1661209,2009.0,Canada,America,,16,16,0.063,0.063,4,4,1407,127,16.0,16.0,0.063,0.063,4.0,4.0,4.0,4.0,-3.988504361,-3.988504361,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0
61,SRR1661210,2009.0,Canada,America,,0.5,16,0.125,0.25,4,4,1407,127,0.5,16.0,0.125,0.25,4.0,4.0,-1.0,4.0,-3.0,-2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0
62,SRR1661212,2009.0,Canada,America,,0.5,16,0.125,0.25,4,4,1407,127,0.5,16.0,0.125,0.25,4.0,4.0,-1.0,4.0,-3.0,-2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0
63,SRR1661213,2009.0,Canada,America,,0.5,16,0.125,0.25,4,4,1407,127,0.5,16.0,0.125,0.25,4.0,4.0,-1.0,4.0,-3.0,-2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0
64,SRR1661214,2009.0,Canada,America,,0.25,16,0.032,0.032,4,2,225,179,0.25,16.0,0.032,0.032,4.0,2.0,-2.0,4.0,-4.965784285,-4.965784285,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
65,SRR1661215,2009.0,Canada,America,,0.25,8,0.063,0.125,2,1,3149,212,0.25,8.0,0.063,0.125,2.0,1.0,-2.0,3.0,-3.988504361,-3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
66,SRR1661217,2009.0,Canada,America,,0.25,16,0.032,0.125,2,2,1407,127,0.25,16.0,0.032,0.125,2.0,2.0,-2.0,4.0,-4.965784285,-3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
67,SRR1661218,2010.0,Canada,America,,0.25,0.125,0.008,0.032,1,0.25,2992,206,0.25,0.125,0.008,0.032,1.0,0.25,-2.0,-3.0,-6.965784285,-4.965784285,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
68,SRR1661219,2010.0,Canada,America,,0.032,0.002,0.008,0.008,0.125,0.063,25,190,0.032,0.002,0.008,0.008,0.125,0.063,-4.965784285,-8.965784285,-6.965784285,-6.965784285,-3.0,-3.988504361,0.0,0.0,0.0,0.0,0.0,0.0
69,SRR1661220,2010.0,Canada,America,,0.5,16,0.125,0.25,4,4,1407,127,0.5,16.0,0.125,0.25,4.0,4.0,-1.0,4.0,-3.0,-2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0
70,SRR1661221,2010.0,Canada,America,,0.5,16,0.032,0.016,4,4,-,1,0.5,16.0,0.032,0.016,4.0,4.0,-1.0,4.0,-4.965784285,-5.965784285,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0
71,SRR1661222,2010.0,Canada,America,,0.5,8,0.063,0.032,2,2,3550,829,0.5,8.0,0.063,0.032,2.0,2.0,-1.0,3.0,-3.988504361,-4.965784285,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
72,SRR1661224,2009.0,Canada,America,,0.125,0.008,0.008,0.008,1,0.25,210,172,0.125,0.008,0.008,0.008,1.0,0.25,-3.0,-6.965784285,-6.965784285,-6.965784285,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
73,SRR1661225,2010.0,Canada,America,,0.125,0.004,0.004,0.008,1,0.5,210,172,0.125,0.004,0.004,0.008,1.0,0.5,-3.0,-7.965784285,-7.965784285,-6.965784285,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
74,SRR1661226,2010.0,Canada,America,,0.25,8,0.032,0.016,2,2,3150,213,0.25,8.0,0.032,0.016,2.0,2.0,-2.0,3.0,-4.965784285,-5.965784285,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
75,SRR1661228,2010.0,Canada,America,,0.5,4,0.032,0.063,2,1,757,593,0.5,4.0,0.032,0.063,2.0,1.0,-1.0,2.0,-4.965784285,-3.988504361,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
76,SRR1661230,2010.0,Canada,America,,0.25,16,0.125,0.125,2,2,4269,294,0.25,16.0,0.125,0.125,2.0,2.0,-2.0,4.0,-3.0,-3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
77,SRR1661231,2010.0,Canada,America,,0.5,16,0.063,0.125,4,2,4269,294,0.5,16.0,0.063,0.125,4.0,2.0,-1.0,4.0,-3.988504361,-3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
78,SRR1661232,2010.0,Canada,America,,0.25,0.004,0.004,0.008,0.25,0.125,4637,858,0.25,0.004,0.004,0.008,0.25,0.125,-2.0,-7.965784285,-7.965784285,-6.965784285,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
79,SRR1661233,2010.0,Canada,America,,0.5,16,0.125,0.25,4,2,1407,127,0.5,16.0,0.125,0.25,4.0,2.0,-1.0,4.0,-3.0,-2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
80,SRR1661234,2010.0,Canada,America,,0.125,0.004,0.004,0.004,0.25,0.25,5371,886,0.125,0.004,0.004,0.004,0.25,0.25,-3.0,-7.965784285,-7.965784285,-7.965784285,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
81,SRR1661235,2010.0,Canada,America,,0.125,0.004,0.002,0.004,0.5,0.25,5371,886,0.125,0.004,0.002,0.004,0.5,0.25,-3.0,-7.965784285,-8.965784285,-7.965784285,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
82,SRR1661236,2010.0,Canada,America,,0.063,0.002,0.002,0.004,0.25,0.125,51,563,0.063,0.002,0.002,0.004,0.25,0.125,-3.988504361,-8.965784285,-8.965784285,-7.965784285,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
83,SRR1661237,2010.0,Canada,America,,0.125,0.004,0.004,0.004,0.25,0.25,6351,911,0.125,0.004,0.004,0.004,0.25,0.25,-3.0,-7.965784285,-7.965784285,-7.965784285,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
84,SRR1661238,2010.0,Canada,America,,0.125,0.004,0.002,0.004,0.25,0.25,231,183,0.125,0.004,0.002,0.004,0.25,0.25,-3.0,-7.965784285,-8.965784285,-7.965784285,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
85,SRR1661239,2010.0,Canada,America,,0.125,0.004,0.004,0.004,0.25,0.25,6644,912,0.125,0.004,0.004,0.004,0.25,0.25,-3.0,-7.965784285,-7.965784285,-7.965784285,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
86,SRR1661240,2010.0,Canada,America,,0.125,0.004,0.004,0.004,0.25,0.25,6645,913,0.125,0.004,0.004,0.004,0.25,0.25,-3.0,-7.965784285,-7.965784285,-7.965784285,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
87,SRR1661241,2011.0,Canada,America,,0.125,0.004,0.004,0.004,0.25,0.125,231,183,0.125,0.004,0.004,0.004,0.25,0.125,-3.0,-7.965784285,-7.965784285,-7.965784285,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
88,SRR1661244,2010.0,Canada,America,,0.5,16,0.063,0.125,4,2,4985,876,0.5,16.0,0.063,0.125,4.0,2.0,-1.0,4.0,-3.988504361,-3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
89,SRR1661246,2010.0,Canada,America,,0.5,16,0.125,0.125,4,2,1407,127,0.5,16.0,0.125,0.125,4.0,2.0,-1.0,4.0,-3.0,-3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
90,SRR1661247,2010.0,Canada,America,,0.5,16,0.125,0.125,4,2,-,1,0.5,16.0,0.125,0.125,4.0,2.0,-1.0,4.0,-3.0,-3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
91,SRR1661248,2010.0,Canada,America,,0.5,16,0.125,0.125,8,2,4985,876,0.5,16.0,0.125,0.125,8.0,2.0,-1.0,4.0,-3.0,-3.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
92,SRR1661251,2010.0,Canada,America,,0.5,16,0.125,0.125,4,1,4985,876,0.5,16.0,0.125,0.125,4.0,1.0,-1.0,4.0,-3.0,-3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
93,SRR1661252,2010.0,Canada,America,,0.5,16,0.25,0.063,4,2,3550,829,0.5,16.0,0.25,0.063,4.0,2.0,-1.0,4.0,-2.0,-3.988504361,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
94,SRR1661253,2011.0,Canada,America,,0.25,16,0.125,0.25,2,2,3149,212,0.25,16.0,0.125,0.25,2.0,2.0,-2.0,4.0,-3.0,-2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
95,SRR1661254,2011.0,Canada,America,,0.25,4,0.063,0.063,1,1,5643,572,0.25,4.0,0.063,0.063,1.0,1.0,-2.0,2.0,-3.988504361,-3.988504361,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
96,SRR1661255,2011.0,Canada,America,,0.032,0.004,0.002,0.004,0.5,0.125,3556,830,0.032,0.004,0.002,0.004,0.5,0.125,-4.965784285,-7.965784285,-8.965784285,-7.965784285,-1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
97,SRR1661256,2011.0,Canada,America,,0.032,0.002,0.002,0.004,0.25,0.125,3556,830,0.032,0.002,0.002,0.004,0.25,0.125,-4.965784285,-8.965784285,-8.965784285,-7.965784285,-2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
98,SRR1661257,2011.0,Canada,America,,0.063,0.002,0.004,0.004,0.125,0.063,-,1,0.063,0.002,0.004,0.004,0.125,0.063,-3.988504361,-8.965784285,-7.965784285,-7.965784285,-3.0,-3.988504361,0.0,0.0,0.0,0.0,0.0,0.0
99,SRR1661258,2010.0,Canada,America,,0.5,16,0.032,0.032,4,2,3150,213,0.5,16.0,0.032,0.032,4.0,2.0,-1.0,4.0,-4.965784285,-4.965784285,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
100,SRR1661259,2010.0,Canada,America,,0.5,16,0.125,0.25,4,2,1407,127,0.5,16.0,0.125,0.25,4.0,2.0,-1.0,4.0,-3.0,-2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
101,SRR1661260,2010.0,Canada,America,,0.125,0.002,0.0005,0.004,0.25,0.25,6175,904,0.125,0.002,0.0005,0.004,0.25,0.25,-3.0,-8.965784285,-10.96578428,-7.965784285,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
102,SRR1661261,2010.0,Canada,America,,0.25,0.004,0.008,0.008,1,0.25,2992,206,0.25,0.004,0.008,0.008,1.0,0.25,-2.0,-7.965784285,-6.965784285,-6.965784285,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
103,SRR1661263,2010.0,Canada,America,,0.125,0.004,0.004,0.004,0.25,0.25,4669,310,0.125,0.004,0.004,0.004,0.25,0.25,-3.0,-7.965784285,-7.965784285,-7.965784285,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
104,SRR1661264,2010.0,Canada,America,,0.125,0.004,0.0005,0.002,0.5,0.125,545,331,0.125,0.004,0.0005,0.002,0.5,0.125,-3.0,-7.965784285,-10.96578428,-8.965784285,-1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
105,SRR1661266,2011.0,Canada,America,,0.125,0.004,0.004,0.004,0.5,0.25,2,536,0.125,0.004,0.004,0.004,0.5,0.25,-3.0,-7.965784285,-7.965784285,-7.965784285,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
106,SRR1661267,2011.0,Canada,America,,0.063,0.004,0.004,0.004,0.5,0.125,2,536,0.063,0.004,0.004,0.004,0.5,0.125,-3.988504361,-7.965784285,-7.965784285,-7.965784285,-1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
107,SRR1661268,2011.0,Canada,America,,0.5,4,0.063,0.25,4,1,5643,572,0.5,4.0,0.063,0.25,4.0,1.0,-1.0,2.0,-3.988504361,-2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
108,SRR1661269,2011.0,Canada,America,,0.25,4,0.063,0.125,2,1,5643,572,0.25,4.0,0.063,0.125,2.0,1.0,-2.0,2.0,-3.988504361,-3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
109,SRR1661270,2011.0,Canada,America,,0.5,16,0.125,0.25,8,2,3709,248,0.5,16.0,0.125,0.25,8.0,2.0,-1.0,4.0,-3.0,-2.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
110,SRR1661271,2011.0,Canada,America,,0.5,16,0.125,0.25,4,2,3158,214,0.5,16.0,0.125,0.25,4.0,2.0,-1.0,4.0,-3.0,-2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
111,SRR1661272,2011.0,Canada,America,,0.5,4,0.125,0.25,2,2,5643,572,0.5,4.0,0.125,0.25,2.0,2.0,-1.0,2.0,-3.0,-2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
112,SRR1661273,2011.0,Canada,America,,0.5,16,0.063,0.125,4,2,1513,788,0.5,16.0,0.063,0.125,4.0,2.0,-1.0,4.0,-3.988504361,-3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
113,SRR1661274,2011.0,Canada,America,,0.063,4,0.032,0.063,1,0.5,1407,127,0.063,4.0,0.032,0.063,1.0,0.5,-3.988504361,2.0,-4.965784285,-3.988504361,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
114,SRR1661276,2012.0,Canada,America,,0.5,16,0.063,0.125,4,1,1407,127,0.5,16.0,0.063,0.125,4.0,1.0,-1.0,4.0,-3.988504361,-3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
