,Sample_ID,Year,Country,Continent,Beta.lactamase,Azithromycin,Ciprofloxacin,Ceftriaxone,Cefixime,Tetracycline,Penicillin,NG_MAST,Group,azm_mic,cip_mic,cro_mic,cfx_mic,tet_mic,pen_mic,log2_azm_mic,log2_cip_mic,log2_cro_mic,log2_cfx_mic,log2_tet_mic,log2_pen_mic,azm_sr,cip_sr,cro_sr,cfx_sr,tet_sr,pen_sr
3554,SRR5827295,2015.0,New_Zealand,Oceania,0,0.5,0.004,0.008,0.008,1,0.5,-,1,0.5,0.004,0.008,0.008,1.0,0.5,-1.0,-7.965784285,-6.965784285,-6.965784285,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
3555,SRR5827302,2015.0,New_Zealand,Oceania,0,0.25,0.004,0.004,0.008,0.5,0.25,-,1,0.25,0.004,0.004,0.008,0.5,0.25,-2.0,-7.965784285,-7.965784285,-6.965784285,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
3556,SRR5827303,2015.0,New_Zealand,Oceania,0,0.25,0.004,0.008,0.008,0.25,0.5,4186,847,0.25,0.004,0.008,0.008,0.25,0.5,-2.0,-7.965784285,-6.965784285,-6.965784285,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
3557,SRR5827199,2015.0,New_Zealand,Oceania,0,0.25,0.002,0.004,0.008,0.5,0.25,9368,994,0.25,0.002,0.004,0.008,0.5,0.25,-2.0,-8.965784285,-7.965784285,-6.965784285,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
3558,SRR5827198,2015.0,New_Zealand,Oceania,0,0.12,4,0.008,0.016,0.5,0.5,-,1,0.12,4.0,0.008,0.016,0.5,0.5,-3.058893689,2.0,-6.965784285,-5.965784285,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0
3559,SRR5827400,2015.0,New_Zealand,Oceania,0,0.25,0.004,0.004,0.008,1,0.25,-,1,0.25,0.004,0.004,0.008,1.0,0.25,-2.0,-7.965784285,-7.965784285,-6.965784285,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0
3560,SRR5827399,2015.0,New_Zealand,Oceania,0,0.25,0.004,0.008,0.008,0.25,0.5,4186,847,0.25,0.004,0.008,0.008,0.25,0.5,-2.0,-7.965784285,-6.965784285,-6.965784285,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
3561,SRR5827394,2015.0,New_Zealand,Oceania,0,0.12,8,0.03,0.03,1,1,2400,186,0.12,8.0,0.03,0.03,1.0,1.0,-3.058893689,3.0,-5.058893689,-5.058893689,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3562,SRR5827393,2015.0,New_Zealand,Oceania,0,0.03,0.002,0.004,0.016,0.06,0.12,-,1,0.03,0.002,0.004,0.016,0.06,0.12,-5.058893689,-8.965784285,-7.965784285,-5.965784285,-4.058893689,-3.058893689,0.0,0.0,0.0,0.0,0.0,0.0
3563,SRR5827396,2015.0,New_Zealand,Oceania,0,0.25,8,0.03,0.03,4,2,2400,186,0.25,8.0,0.03,0.03,4.0,2.0,-2.0,3.0,-5.058893689,-5.058893689,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
